ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1748,California,Butte,Bangor,39.424862,-121.350499
1768,California,Butte,"Berry Creek",39.638394,-121.385467
1780,California,Butte,Biggs,39.414918,-121.695873
1891,California,Butte,Chico,39.756466,-121.851806
1910,California,Butte,"Clipper Mills",39.532778,-121.156389
1999,California,Butte,Durham,39.641599,-121.791983
2047,California,Butte,"Feather Falls",39.593333,-121.255278
2063,California,Butte,Forbestown,39.541712,-121.213443
2066,California,Butte,"Forest Ranch",40.129931,-121.500205
2122,California,Butte,Gridley,39.358855,-121.689777
2326,California,Butte,Magalia,39.831728,-121.597455
2419,California,Butte,Nelson,39.552222,-121.764444
2482,California,Butte,Oroville,39.532967,-121.578396
2490,California,Butte,Palermo,39.436148,-121.545389
2500,California,Butte,Paradise,39.746389,-121.636111
2600,California,Butte,Richvale,39.493889,-121.743611
2751,California,Butte,"Stirling City",39.907778,-121.526944
