ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1693,California,"Contra Costa",Alamo,37.853695,-122.022868
1717,California,"Contra Costa",Antioch,37.993917,-121.808906
1769,California,"Contra Costa","Bethel Island",38.015,-121.639444
1807,California,"Contra Costa",Brentwood,37.932415,-121.689427
1826,California,"Contra Costa",Byron,37.902616,-121.602211
1853,California,"Contra Costa",Canyon,37.831667,-122.186667
1904,California,"Contra Costa",Clayton,37.915442,-121.909967
1925,California,"Contra Costa",Concord,37.950434,-122.026296
1948,California,"Contra Costa",Crockett,38.051865,-122.217659
1958,California,"Contra Costa",Danville,37.820833,-121.906667
1974,California,"Contra Costa",Diablo,37.83883,-121.960951
1979,California,"Contra Costa","Discovery Bay",37.9085357,-121.6002291
2010,California,"Contra Costa","El Cerrito",37.915633,-122.298521
2018,California,"Contra Costa","El Sobrante",37.969287,-122.290092
2153,California,"Contra Costa",Hercules,38.006649,-122.263702
2227,California,"Contra Costa",Knightsen,37.9818,-121.672149
2243,California,"Contra Costa",Lafayette,37.896105,-122.11194
2341,California,"Contra Costa",Martinez,37.993246,-122.111693
2394,California,"Contra Costa",Moraga,37.843653,-122.124185
2457,California,"Contra Costa",Oakley,37.994034,-121.703623
2477,California,"Contra Costa",Orinda,37.878659,-122.172848
2531,California,"Contra Costa",Pinole,37.996903,-122.287477
2537,California,"Contra Costa",Pittsburg,38.016887,-121.908178
2545,California,"Contra Costa","Pleasant Hill",37.954002,-122.07371
2554,California,"Contra Costa","Port Costa",38.046013,-122.186649
2599,California,"Contra Costa",Richmond,37.940039,-122.36201
2615,California,"Contra Costa",Rodeo,38.03069,-122.258139
2665,California,"Contra Costa","San Pablo",37.972374,-122.336929
2669,California,"Contra Costa","San Ramon",37.78,-121.976944
2858,California,"Contra Costa","Walnut Creek",37.875317,-122.070259
