ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1905,California,Lake,Clearlake,38.957138,-122.636089
1906,California,Lake,"Clearlake Oaks",39.034838,-122.66873
1907,California,Lake,"Clearlake Park",38.967778,-122.653889
1916,California,Lake,Cobb,38.822222,-122.721944
2054,California,Lake,Finley,39.004444,-122.874444
2102,California,Lake,Glenhaven,38.99008,-122.522035
2158,California,Lake,"Hidden Valley Lake",39.962583,-123.814656
2210,California,Lake,Kelseyville,38.946164,-122.781707
2256,California,Lake,Lakeport,39.055147,-122.915082
2314,California,Lake,"Lower Lake",38.860682,-122.575426
2316,California,Lake,Lucerne,39.083393,-122.785125
2363,California,Lake,Middletown,38.782504,-122.64352
2432,California,Lake,Nice,39.122341,-122.842409
2830,California,Lake,"Upper Lake",39.160829,-122.896114
2905,California,Lake,"Witter Springs",39.182118,-122.97105
