ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1771,California,Lassen,Bieber,41.121389,-121.143056
1989,California,Lassen,Doyle,40.000799,-120.107693
2154,California,Lassen,Herlong,40.148492,-120.171271
2199,California,Lassen,Janesville,40.296325,-120.50982
2281,California,Lassen,Litchfield,40.362788,-120.253975
2323,California,Lassen,Madeline,41.051111,-120.474444
2348,California,Lassen,Mcarthur,41.111407,-121.214896
2366,California,Lassen,Milford,40.182763,-120.389508
2448,California,Lassen,Nubieber,41.095833,-121.181944
2581,California,Lassen,Ravendale,40.831705,-120.16001
2744,California,Lassen,Standish,40.350863,-120.406847
2771,California,Lassen,Susanville,40.416389,-120.651944
2789,California,Lassen,Termo,40.946667,-120.517378
2870,California,Lassen,Wendel,40.346233,-120.352156
2883,California,Lassen,Westwood,40.270359,-121.109224
