ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1691,California,Madera,Ahwahnee,37.407631,-119.723251
1752,California,Madera,"Bass Lake",37.324359,-119.556839
1896,California,Madera,Chowchilla,37.101371,-120.269077
1915,California,Madera,Coarsegold,37.221378,-119.745545
2324,California,Madera,Madera,36.9528,-119.8806
2439,California,Madera,"North Fork",37.212531,-119.514324
2450,California,Madera,"O Neals",37.086874,-119.745369
2455,California,Madera,Oakhurst,37.347561,-119.644854
2582,California,Madera,Raymond,37.27898,-119.876567
2904,California,Madera,Wishon,37.281028,-119.557014
