ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1688,California,Modoc,Adin,41.21751,-120.943193
1705,California,Modoc,Alturas,41.476742,-120.545584
1849,California,Modoc,Canby,41.466358,-120.921769
1884,California,Modoc,Cedarville,41.475871,-120.151551
1963,California,Modoc,"Davis Creek",41.862555,-120.323549
2001,California,Modoc,Eagleville,41.316389,-120.114722
2070,California,Modoc,"Fort Bidwell",41.864441,-120.161983
2250,California,Modoc,"Lake City",41.668208,-120.181424
2276,California,Modoc,Likely,41.230556,-120.503056
2300,California,Modoc,Lookout,41.208056,-121.154167
