ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1709,California,Napa,"American Canyon",38.175,-122.259722
1714,California,Napa,Angwin,38.576906,-122.447732
1835,California,Napa,Calistoga,38.582305,-122.581384
1965,California,Napa,"Deer Park",38.575833,-122.448889
2415,California,Napa,Napa,38.328137,-122.305518
2458,California,Napa,Oakville,38.436944,-122.401111
2553,California,Napa,"Pope Valley",38.678192,-122.472244
2626,California,Napa,Rutherford,38.458611,-122.421389
2629,California,Napa,"Saint Helena",38.513776,-122.461921
2920,California,Napa,Yountville,38.403813,-122.358506
