ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1702,California,Placer,Alta,39.228032,-120.773165
1720,California,Placer,Applegate,38.995487,-120.990511
1737,California,Placer,Auburn,38.9828,-121.0938
1866,California,Placer,"Carnelian Bay",39.231937,-120.075328
1918,California,Placer,Colfax,39.076936,-120.960163
2000,California,Placer,"Dutch Flat",39.197788,-120.826224
2028,California,Placer,"Emigrant Gap",39.286907,-120.662902
2067,California,Placer,Foresthill,39.00229,-120.861127
2105,California,Placer,"Gold Run",39.175102,-120.856909
2112,California,Placer,"Granite Bay",38.7438,-121.1898
2167,California,Placer,Homewood,39.078157,-120.179035
2218,California,Placer,"Kings Beach",39.240119,-120.023287
2277,California,Placer,Lincoln,38.904035,-121.295541
2301,California,Placer,Loomis,38.80711,-121.169826
2353,California,Placer,"Meadow Vista",39.003101,-121.029155
2426,California,Placer,Newcastle,38.872467,-121.142616
2469,California,Placer,"Olympic Valley",39.155556,-120.215
2515,California,Placer,Penryn,38.856654,-121.179149
2614,California,Placer,Rocklin,38.791898,-121.243406
2619,California,Placer,Roseville,38.734612,-121.233968
2706,California,Placer,Sheridan,38.99153,-121.362062
2776,California,Placer,"Tahoe City",39.180618,-120.144532
2777,California,Placer,"Tahoe Vista",39.24475,-120.052128
2868,California,Placer,Weimar,39.0375,-120.971389
