ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1756,California,Plumas,Beckwourth,39.820278,-120.377778
1757,California,Plumas,Belden,39.921746,-121.325924
1784,California,Plumas,Blairsden-graeagle,39.784745,-120.627397
1855,California,Plumas,"Canyon Dam",40.207958,-121.156324
1889,California,Plumas,Chester,40.297457,-121.227338
1892,California,Plumas,Chilcoot,39.805683,-120.175212
1909,California,Plumas,Clio,39.74326,-120.560458
1943,California,Plumas,"Crescent Mills",40.081915,-120.881993
2119,California,Plumas,Greenville,40.142404,-120.927299
2352,California,Plumas,"Meadow Valley",39.918488,-121.05629
2559,California,Plumas,Portola,39.810883,-120.466858
2568,California,Plumas,Quincy,39.940504,-120.928493
2754,California,Plumas,Storrie,39.513889,-121.555278
2781,California,Plumas,Taylorsville,40.064911,-120.801797
2821,California,Plumas,Twain,40.002769,-121.150729
2852,California,Plumas,Vinton,39.720719,-120.204994
