ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1733,California,"San Mateo",Atherton,37.456255,-122.200198
1762,California,"San Mateo",Belmont,37.517433,-122.292671
1810,California,"San Mateo",Brisbane,37.681104,-122.400118
1819,California,"San Mateo",Burlingame,37.575884,-122.362952
1956,California,"San Mateo","Daly City",37.7074,-122.4587
2013,California,"San Mateo","El Granada",37.502778,-122.468333
2135,California,"San Mateo","Half Moon Bay",37.479057,-122.445929
2234,California,"San Mateo","La Honda",37.272285,-122.293889
2294,California,"San Mateo","Loma Mar",37.254437,-122.281996
2358,California,"San Mateo","Menlo Park",37.453401,-122.179136
2369,California,"San Mateo",Millbrae,37.600382,-122.401985
2385,California,"San Mateo",Montara,37.542222,-122.515
2399,California,"San Mateo","Moss Beach",37.531039,-122.50683
2486,California,"San Mateo",Pacifica,37.619559,-122.481607
2517,California,"San Mateo",Pescadero,37.206518,-122.364876
2560,California,"San Mateo","Portola Vally",37.378859,-122.208131
2590,California,"San Mateo","Redwood City",37.464661,-122.230406
2639,California,"San Mateo","San Bruno",37.624742,-122.429021
2640,California,"San Mateo","San Carlos",37.496859,-122.267356
2646,California,"San Mateo","San Francisco",37.621944,-122.381944
2649,California,"San Mateo","San Gregorio",37.325513,-122.355552
2663,California,"San Mateo","San Mateo",37.572271,-122.320262
2738,California,"San Mateo","South San Francisco",37.65382,-122.4347
