ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1836,California,Siskiyou,Callahan,41.383257,-122.764046
1982,California,Siskiyou,Dorris,41.9675,-121.916944
1998,California,Siskiyou,Dunsmuir,41.212439,-122.273397
2036,California,Siskiyou,Etna,41.468303,-122.914189
2069,California,Siskiyou,"Forks Of Salmon",41.256978,-123.09781
2074,California,Siskiyou,"Fort Jones",41.617027,-122.883207
2093,California,Siskiyou,Gazelle,41.510485,-122.537122
2118,California,Siskiyou,Greenview,41.550833,-122.904444
2121,California,Siskiyou,Grenada,41.612512,-122.525829
2138,California,Siskiyou,"Happy Camp",41.801802,-123.388045
2172,California,Siskiyou,Hornbrook,41.907738,-122.526528
2224,California,Siskiyou,"Klamath River",41.863699,-122.819693
2321,California,Siskiyou,Macdoel,41.883028,-121.944472
2350,California,Siskiyou,Mccloud,41.252108,-122.13562
2384,California,Siskiyou,Montague,41.724294,-122.463799
2405,California,Siskiyou,"Mount Shasta",41.317435,-122.324017
2691,California,Siskiyou,"Scott Bar",41.77364,-122.988183
2697,California,Siskiyou,"Seiad Valley",41.886589,-123.243762
2727,California,Siskiyou,"Somes Bar",41.43304,-123.475928
2816,California,Siskiyou,Tulelake,41.931621,-121.434688
2867,California,Siskiyou,Weed,41.439466,-122.384803
2921,California,Siskiyou,Yreka,41.720558,-122.637604
