ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1772,California,Trinity,"Big Bar",40.74796,-123.229006
1821,California,Trinity,"Burnt Ranch",40.772238,-123.461248
1985,California,Trinity,"Douglas City",40.634151,-122.923867
2145,California,Trinity,Hayfork,40.550431,-123.163416
2179,California,Trinity,Hyampom,40.6175,-123.451389
2205,California,Trinity,"Junction City",40.768187,-123.062671
2275,California,Trinity,Lewiston,40.745986,-122.842591
2322,California,Trinity,"Mad River",40.352352,-123.413994
2633,California,Trinity,Salyer,40.89095,-123.547833
2811,California,Trinity,"Trinity Center",41.061548,-122.723919
2866,California,Trinity,Weaverville,40.731701,-122.935303
2926,California,Trinity,Zenia,40.205556,-123.490833
