ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1812,California,Yolo,Brooks,38.739277,-122.133391
1856,California,Yolo,Capay,38.696964,-122.100993
1903,California,Yolo,Clarksburg,38.395963,-121.556853
1962,California,Yolo,Davis,38.554817,-121.748495
1997,California,Yolo,Dunnigan,38.893671,-121.996577
2034,California,Yolo,Esparto,38.694191,-122.021391
2132,California,Yolo,Guinda,38.816568,-122.189659
2226,California,Yolo,"Knights Landing",38.822032,-121.720003
2325,California,Yolo,Madison,38.680164,-121.972129
2624,California,Yolo,Rumsey,38.8762,-122.253738
2876,California,Yolo,"West Sacramento",38.592424,-121.526377
2902,California,Yolo,Winters,38.529462,-121.974544
2910,California,Yolo,Woodland,38.674294,-121.77932
2916,California,Yolo,Yolo,38.731944,-121.806667
2925,California,Yolo,Zamora,38.799896,-121.90654
