ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1754,California,Yuba,"Beale Afb",39.145833,-121.590278
1813,California,Yuba,"Browns Valley",39.284428,-121.346482
1814,California,Yuba,Brownsville,39.452534,-121.261179
1848,California,Yuba,Camptonville,39.450784,-121.023066
1887,California,Yuba,Challenge,39.4875,-121.2225
1981,California,Yuba,Dobbins,39.371469,-121.234386
2342,California,Yuba,Marysville,39.141653,-121.522467
2468,California,Yuba,Olivehurst,39.089483,-121.550059
2475,California,Yuba,"Oregon House",39.314388,-121.209229
2569,California,Yuba,Rackerby,39.4059,-121.336192
2758,California,Yuba,"Strawberry Valley",39.604136,-121.074566
2884,California,Yuba,Wheatland,39.019197,-121.422126
